f_word,s_word,f_amount,s_amount,pair_amount,pmi
ukończyć,17,1,1,4,12.759888260028116
zabieg,sterylizacja,1,1,4,12.759888260028116
wbrew,pozór,1,1,4,12.759888260028116
mikroprzedsiębiorstw,sme,1,1,4,12.759888260028116
roubira,francuski,1,1,4,12.759888260028116
motor,manufacturing,1,1,4,12.759888260028116
san,diego,1,1,4,12.759888260028116
dokonanie,bilans,1,1,4,12.759888260028116
sąsiad,niepotrzebny,1,1,4,12.759888260028116
zagięcie,zadrapanie,1,1,4,12.759888260028116
zrujnowany,miasta…,1,1,4,12.759888260028116
de,la,1,1,4,12.759888260028116
autentycznie,zainteresować,1,1,4,12.759888260028116
chwilowy,zajawka,1,1,4,12.759888260028116
olgi,dąbrowskiej,1,1,4,12.759888260028116
petera,bowera,1,1,4,12.759888260028116
podejmować,wolontariat,1,1,4,12.759888260028116
mimowolny,wymawianie,1,1,4,12.759888260028116
bilans,siła,1,1,4,12.759888260028116
rówieśnik,podejmować,1,1,4,12.759888260028116
półportugału,koronny,1,1,4,12.759888260028116
rafa,pięknieć,1,1,4,12.759888260028116
”,wow,1,1,4,12.759888260028116
londynie,dogłębnie,1,1,4,12.759888260028116
zakazywać,import,1,1,4,12.759888260028116
klimatyczny,kolczyk,1,1,4,12.759888260028116
wypracować,bijący,1,1,4,12.759888260028116
przeciwko,koronawirusowi,1,1,4,12.759888260028116
decydowany,bestseller,1,1,4,12.759888260028116
komisariat,policja,1,1,4,12.759888260028116
żywcem,wyjęty,1,1,4,12.759888260028116
kolegium,uniwersytecki,1,1,4,12.759888260028116
podjąć,próba,1,1,4,12.759888260028116
sprzątanie,gotowanie,1,1,4,12.759888260028116
zatrudnić,firma,1,1,4,12.759888260028116
jeśli,zależy,1,1,4,12.759888260028116
kodeki,aac,1,1,4,12.759888260028116
killzone,shadowfall,1,1,4,12.759888260028116
golden,retrievery,1,1,4,12.759888260028116
„efektem,[braku,1,1,4,12.759888260028116
carvingowych,artysta,1,1,4,12.759888260028116
jelczu,laskowicach,1,1,4,12.759888260028116
ranga,odbyć,1,1,4,12.759888260028116
przyczepa,kempingowy,1,1,4,12.759888260028116
jakkolwiek,irytować,1,1,4,12.759888260028116
sprytnie,skonstruowany,1,1,4,12.759888260028116
cotygodniowe,podmiany,1,1,4,12.759888260028116
polityczny,decydentów,1,1,4,12.759888260028116
wilgotność,powietrze,1,1,4,12.759888260028116
bezwzględnie,przestrzegać,1,1,4,12.759888260028116
wydawca,zaktualizować,1,1,4,12.759888260028116
bolesny,dolegliwość,1,1,4,12.759888260028116
kamperom,wiosna,1,1,4,12.759888260028116
grzbietowy,otwór,1,1,4,12.759888260028116
hotel,raffles,1,1,4,12.759888260028116
darmo,caravaningowców,1,1,4,12.759888260028116
ukrócić,deklarować,1,1,4,12.759888260028116
dotykowy,służąca,1,1,4,12.759888260028116
uzasadnić,ale…,1,1,4,12.759888260028116
gotowany,marchewka,1,1,4,12.759888260028116
reach,out,1,1,4,12.759888260028116
przeszywający,zabijający,1,1,4,12.759888260028116
kreślić,wzdłuż,1,1,4,12.759888260028116
com,41,1,1,4,12.759888260028116
koc,gdzieś,1,1,4,12.759888260028116
mikrofon,wpuszczać,1,1,4,12.759888260028116
kupowany,planszówek,1,1,4,12.759888260028116
pyszczek,ogon,1,1,4,12.759888260028116
niebieski,wysokoenergetycznej,1,1,4,12.759888260028116
roślinożerny,toteż,1,1,4,12.759888260028116
najdokładniej,naprowadzić,1,1,4,12.759888260028116
namowa,znajomy,1,1,4,12.759888260028116
choćby,weekendowy,1,1,4,12.759888260028116
wyjazd,sumiennie,1,1,4,12.759888260028116
banknot,kolekcjonerski,1,1,4,12.759888260028116
obdarzyć,zaufanie,1,1,4,12.759888260028116
hamak,namiot,1,1,4,12.759888260028116
tygrys,jaguar,1,1,4,12.759888260028116
guerrilla,games,1,1,4,12.759888260028116
argentynie,zasiedlać,1,1,4,12.759888260028116
rozumny,machina,1,1,4,12.759888260028116
alfabet,smok,1,1,4,12.759888260028116
chęć,zagranie,1,1,4,12.759888260028116
marek,prokoscha,1,1,4,12.759888260028116
przyjazny,kamperom,1,1,4,12.759888260028116
udowadniać,psycholingwiści,1,1,4,12.759888260028116
powolniejszy,czasochłonny,1,1,4,12.759888260028116
spiruliny,urozmaicić,1,1,4,12.759888260028116
skutecznie,chronić,1,1,4,12.759888260028116
fabryka,czekolady”,1,1,4,12.759888260028116
mateusza,morawieckiego,1,1,4,12.759888260028116
skandynawowie,Anglik,1,1,4,12.759888260028116
krajowy,integrator,1,1,4,12.759888260028116
martijna,veltkampa,1,1,4,12.759888260028116
rozprzestrzeniać,opanowywać,1,1,4,12.759888260028116
niejako,tłumić,1,1,4,12.759888260028116
czytania«,budujący,1,1,4,12.759888260028116
manufacturing,poland,1,1,4,12.759888260028116
marzec,br,1,1,4,12.759888260028116
firanka,abażur,1,1,4,12.759888260028116
sąd,rodzinny,1,1,4,12.759888260028116
szymborskiej,mawiający,1,1,4,12.759888260028116
wyścigowy,zwać,1,1,4,12.759888260028116
praktykować,choćby,1,1,4,12.759888260028116
„życia,pi”,1,1,4,12.759888260028116
huminowy,uwalniany,1,1,4,12.759888260028116
umiarkowany,twardość,1,1,4,12.759888260028116
anioł,rubensów,1,1,4,12.759888260028116
bastet,czcić,1,1,4,12.759888260028116
specjalnie,wyznaczony,1,1,4,12.759888260028116
zapierający,dech,1,1,4,12.759888260028116
kontynent,olgi,1,1,4,12.759888260028116
zalesiany,nieużytek,1,1,4,12.759888260028116
henryka,karolkiewicza,1,1,4,12.759888260028116
torf,kora,1,1,4,12.759888260028116
jesień,bieżący,1,1,4,12.759888260028116
obliczeniowy,statystyczny,1,1,4,12.759888260028116
potocznie,„wąsaczem”,1,1,4,12.759888260028116
jacek,ćwiertniewicz,1,1,4,12.759888260028116
uprawianie,czar,1,1,4,12.759888260028116
semantyczno,kognitywne,1,1,4,12.759888260028116
chyłka,remigiusza,1,1,4,12.759888260028116
bowera,zrzeszać,1,1,4,12.759888260028116
zakrzywiony,ostry,1,1,4,12.759888260028116
mina,znawca,1,1,4,12.759888260028116
strażnica,podjąć,1,1,4,12.759888260028116
freidland,wedle,1,1,4,12.759888260028116
karier,zawodowy,1,1,4,12.759888260028116
kończyć,nieciekawy,1,1,4,12.759888260028116
child,„podstawowe,1,1,4,12.759888260028116
weryfikowanie,założeń…,1,1,4,12.759888260028116
mur,pięciogwiazdkowego,1,1,4,12.759888260028116
developing,child,1,1,4,12.759888260028116
language,php,1,1,4,12.759888260028116
gruby,robot,1,1,4,12.759888260028116
miejski,przestrzeń,1,1,4,12.759888260028116
ewentualny,przeziębienie,1,1,4,12.759888260028116
picie,herbata,1,1,4,12.759888260028116
możesz,już,1,1,4,12.759888260028116
organizator,aukcja,1,1,4,12.759888260028116
michałów,anioł,1,1,4,12.759888260028116
dygresja,wrócić,1,1,4,12.759888260028116
dziewięćset,książek”,1,1,4,12.759888260028116
ścisły,testament,1,1,4,12.759888260028116
zacząć,zarażać,1,1,4,12.759888260028116
pazur,zakrzywiony,1,1,4,12.759888260028116
zgłębiać,tenże,1,1,4,12.759888260028116
potas,fosfor,1,1,4,12.759888260028116
biegacz,długodystansowy,1,1,4,12.759888260028116
rozgrzanie,wędzidło,1,1,4,12.759888260028116
wyrobić,makramowy,1,1,4,12.759888260028116
numizmatyczny,przeżywać,1,1,4,12.759888260028116
struna,głosowy,1,1,4,12.759888260028116
ssak,drapieżny,1,1,4,12.759888260028116
rozpocząć,działalność,1,1,4,12.759888260028116
kolorowy,plama,1,1,4,12.759888260028116
uzupełnienie,stanowisko,1,1,4,12.759888260028116
ortografia,interpunkcja,1,1,4,12.759888260028116
okrzyknięty,„dekadą,1,1,4,12.759888260028116
umysłu”,racja,1,1,4,12.759888260028116
wersja,cyfrowej,1,1,4,12.759888260028116
wyjątkowo,precyzyjnie,1,1,4,12.759888260028116
basic,javascript,1,1,4,12.759888260028116
serwetka,lambrekin,1,1,4,12.759888260028116
szczegóły…,tymczasem,1,1,4,12.759888260028116
detektyw,poirot,1,1,4,12.759888260028116
wprowadzać,dyżur,1,1,4,12.759888260028116
javascript,assembly,1,1,4,12.759888260028116
działacz,upowszechniać,1,1,4,12.759888260028116
louisa,roubira,1,1,4,12.759888260028116
holandii,australii,1,1,4,12.759888260028116
kącik,pokój,1,1,4,12.759888260028116
panama,ameryka,1,1,4,12.759888260028116
leśnictwo,kąkolówka,1,1,4,12.759888260028116
ameryka,łaciński,1,1,4,12.759888260028116
mały,haczyk,1,1,4,12.759888260028116
ton,agresywność,1,1,4,12.759888260028116
netflix,youtube,1,1,4,12.759888260028116
drzewko,wprowadzany,1,1,4,12.759888260028116
presetom,galaxy,1,1,4,12.759888260028116
ekipa,losować,1,1,4,12.759888260028116
ćwiertniewicz,komendant,1,1,4,12.759888260028116
wyrób,modowe,1,1,4,12.759888260028116
puma,rys,1,1,4,12.759888260028116
assembly,language,1,1,4,12.759888260028116
słoneczny,plaża,1,1,4,12.759888260028116
kwietniowy,edycja,1,1,4,12.759888260028116
„mójka”,leśnictwo,1,1,4,12.759888260028116
½,¾,1,1,4,12.759888260028116
zasychający,końcówka,1,1,4,12.759888260028116
karmienie,przeciętnie,1,1,4,12.759888260028116
ekologiczny,mebel,1,1,4,12.759888260028116
skrzynia,bieg,1,1,4,12.759888260028116
zaspa,śnieżny,1,1,4,12.759888260028116
delikatność,finezja,1,1,4,12.759888260028116
gwarancja,wzięcie,1,1,4,12.759888260028116
patricia,greenfield,1,1,4,12.759888260028116
rozproszenie,ustępować,1,1,4,12.759888260028116
umowa,cywilno,1,1,4,12.759888260028116
zasypianie,pogłębianie,1,1,4,12.759888260028116
dariusz,mikołajczak,1,1,4,12.759888260028116
kara,czekać,1,1,4,12.759888260028116
gryzonie,likwidować,1,1,4,12.759888260028116
niepowtarzalny,klimatyczny,1,1,4,12.759888260028116
niepotrzebny,skreślić,1,1,4,12.759888260028116
iii,waza,1,1,4,12.759888260028116
daenerys,targaryen,1,1,4,12.759888260028116
trafienie,plastikowy,1,1,4,12.759888260028116
ścieżka,nieopodal,1,1,4,12.759888260028116
jakąkolwiek,figura,1,1,4,12.759888260028116
zapomniany,słówko,1,1,4,12.759888260028116
violet,beauregarde,1,1,4,12.759888260028116
czarownica,palić,1,1,4,12.759888260028116
wywoławczy,półportugału,1,1,4,12.759888260028116
wciągający,zagmatwany,1,1,4,12.759888260028116
jeana,louisa,1,1,4,12.759888260028116
dokanałowej,konstrukcja,1,1,4,12.759888260028116
grąd,wielogatunkowy,1,1,4,12.759888260028116
„głęboko,czytać”,1,1,4,12.759888260028116
wnuki,współmałżonek,1,1,4,12.759888260028116
widzący,kod,1,1,4,12.759888260028116
łupina,kokos,1,1,4,12.759888260028116
dogłębnie,zbadać,1,1,4,12.759888260028116
praktyk,immunizować,1,1,4,12.759888260028116
zostawać,zastąpiony,1,1,4,12.759888260028116
kontynuować,zagłębianie,1,1,4,12.759888260028116
40,gdyby,1,1,4,12.759888260028116
coś,zachęcającego,1,1,4,12.759888260028116
niwelować,agresja,1,1,4,12.759888260028116
wolny,kwadrans,1,1,4,12.759888260028116
zawodzić,oznakowanie,1,1,4,12.759888260028116
nowatorski,terapia,1,1,4,12.759888260028116
blask,przyćmiewać,1,1,4,12.759888260028116
grot,skalny,1,1,4,12.759888260028116
specyficzny,“spotkanie”,1,1,4,12.759888260028116
out,and,1,1,4,12.759888260028116
obornik,granulowany,1,1,4,12.759888260028116
gepard,tygrys,1,1,4,12.759888260028116
prawdopodobieństwo,zachorowanie,1,1,4,12.759888260028116
davida,lewisa,1,1,4,12.759888260028116
bezpieczny,umieszczanie,1,1,4,12.759888260028116
przejrzysty,clearwater,1,1,4,12.759888260028116
game,changer,1,1,4,12.759888260028116
doskonalenie,płynność,1,1,4,12.759888260028116
piękne,brojnik,1,1,4,12.759888260028116
kompozycja,składający,1,1,4,12.759888260028116
górski,szlak,1,1,4,12.759888260028116
otwór,gębowy,1,1,4,12.759888260028116
ocelot,puma,1,1,4,12.759888260028116
płetwa,grzbietowy,1,1,4,12.759888260028116
posikiwanie,mocz,1,1,4,12.759888260028116
dłoń,zagwarantować,1,1,4,12.759888260028116
spędzony,samotnia,1,1,4,12.759888260028116
nagłówek,przerywanie,1,1,4,12.759888260028116
wow,myśle,1,1,4,12.759888260028116
higienista,przeprowadzać,1,1,4,12.759888260028116
programista,widzący,1,1,4,12.759888260028116
komicznie,brutalny,1,1,4,12.759888260028116
wzrostowy,sektor,1,1,4,12.759888260028116
rodzinny,obaj,1,1,4,12.759888260028116
talar,wybity,1,1,4,12.759888260028116
wstępny,dokonanie,1,1,4,12.759888260028116
przestrzegać,biwakowanie,1,1,4,12.759888260028116
charakterystyka,granie,1,1,4,12.759888260028116
płodność,bastet,1,1,4,12.759888260028116
łuk,zębowy,1,1,4,12.759888260028116
“boski,budowniczy”,1,1,4,12.759888260028116
cytat,przysłowie,1,1,4,12.759888260028116
będzie,płynął,1,1,4,12.759888260028116
per,se,1,1,4,12.759888260028116
daleko,posunąć,1,1,4,12.759888260028116
kossut,2012,1,1,4,12.759888260028116
późny,starość,1,1,4,12.759888260028116
proszek,fast,1,1,4,12.759888260028116
wycinać,tło,1,1,4,12.759888260028116
pomysłowość,ciężki,1,1,4,12.759888260028116
werochowski,wiceprezes,1,1,4,12.759888260028116
maine,coon,1,1,4,12.759888260028116
rys,gepard,1,1,4,12.759888260028116
likwidować,mysz,1,1,4,12.759888260028116
wścieklizna,nosówka,1,1,4,12.759888260028116
br,sfinalizować,1,1,4,12.759888260028116
fort,wrzucić,1,1,4,12.759888260028116
współpracujący,„sieci”,1,1,4,12.759888260028116
